MLS_NUMBER,OPEN_STATUS,LISTING_Date,LISTING_PRICE,LOCATION,SOLD_PRICE,URL,DAYS_ON_MARKET,LATITUDE,LONGTIDUE,ACRES,PRICE_PER_ARC
 10020295,For Sale,2023-08-31,"$775,000","3 beds • 2 baths • 1 half bath • 2,508 sq ft191 Carter View Drive, Cody, WY 82414 - Park County",775000,https://www.land.com/property/191-Carter-View-Drive-Cody-Wyoming-82414/17879569/,4,44.43702,-109.162035,4.22,183649
null,For Sale,2023-09-01,"$1,590,000","2 beds • 5 baths • 2,240 sq ft2910 Old US Highway 91, Craig, MT 59421 - Cascade County",1590000,https://www.land.com/property/2910-Old-US-Highway-91-Craig-Montana-59421/16260233/,3,47.138868,-111.852972,0.63,2523810
null,For Sale,2023-07-27,"$2,499,000","4 beds • 2 baths • 2,800 sq ft814 Ash Creek Road, Sheridan, WY 82801 - Sheridan County",2499000,https://www.land.com/property/565-acres-in-Sheridan-County-Wyoming/17166374/,39,44.98716,-107.079055,565,4423
null,For Sale,2023-08-30,"$1,800,000","TBD Blind Springs Road, Lot#WP001, American Falls, ID 83211 - Power County",1800000,https://www.land.com/property/763.06-acres-in-Power-County-Idaho/18111824/,5,42.7762,-112.7518,763.06,2359
null,For Sale,2023-08-30,"$950,000","39096 County Road 10, Maybell, CO 81640 - Moffat County",950000,https://www.land.com/property/468-acres-in-Moffat-County-Colorado/18097792/,5,40.5274286494,-108.269234665,468,2030
 10019963,For Sale,2023-07-27,"$1,745,000","4 beds • 6 baths • 2 half baths • 6,039 sq ft129 Cooper Lane East, Cody, WY 82414 - Park County",1745000,https://www.land.com/property/129-Cooper-Lane-East-Cody-Wyoming-82414/14272823/,39,44.542535,-108.997265,12,145417
null,For Sale,2023-08-31,"$665,000","3 beds • 2 baths2680 Sand Butte Road, Pavillion, WY 82523 - Fremont County",665000,https://www.land.com/property/163.05-acres-in-Fremont-County-Wyoming/18121256/,4,43.2104609516,-108.740708548,163.05,4079
null,For Sale,2023-08-17,"$450,000","3 beds • 1 bath • 1,800 sq ftTBD Cadotte Creek Road, Lot#WP001, Wolf Creek, MT 59648 - Lewis and Clark County",450000,https://www.land.com/property/20.57-acres-in-Lewis-and-Clark-County-Montana/17990034/,18,47.097,-112.399,20.57,21877
 30004684,Under Contract,2023-08-19,"$990,000","4 beds • 2 baths • 2,569 sq ft23782 MT Hwy 35, Bigfork, MT 59860 - Lake County",990000,https://www.land.com/property/23782-MT-Hwy-35-Bigfork-Montana-59860/16981745/,16,47.879199,-114.024303,4.89,202454
 10020109,For Sale,2023-07-17,"$1,995,000","4 beds • 3 baths • 5,187 sq ft1231 Chalk Rd, Powell, WY 82435 - Park County",1995000,https://www.land.com/property/1231-Chalk-Rd-Powell-Wyoming-82435/17602506/,49,44.705582,-108.986245,35,57000
